,created_at,tweet
54,Wed Apr 22 14:45:10 +0000 2020,RT @SpaceX: Happy Earth Day! https://t.co/wvFit5hIq3
55,Tue Apr 21 00:23:44 +0000 2020,"RT @NASA: On May 1, we're previewing the return of human spaceflight to U.S. soil. 🇺🇸 Hear from @JimBridenstine, @SpaceX and NASA managers…"
56,Sun Apr 19 01:03:40 +0000 2020,Best political platform ever https://t.co/CRbNFdQj4B
57,Sat Apr 18 03:02:28 +0000 2020,Orbital human spaceflight returns to the Cape in six weeks! https://t.co/pH52N1KyoX
58,Fri Apr 17 21:43:56 +0000 2020,"RT @Commercial_Crew: Human spaceflight is returning to America! 🇺🇸🚀

On May 27, @NASA astronauts @AstroBehnken and @Astro_Doug will launch…"
59,Fri Apr 17 17:54:52 +0000 2020,"Good progress, but 18 years to launch our first humans is a long time. Technology must advance faster or there will… https://t.co/kHYxNmevD4"
60,Thu Apr 16 17:56:33 +0000 2020,"These were based on direct requests from their ICU wards, with exact specifications of each unit provided before shipment"
61,Thu Apr 16 17:54:18 +0000 2020,Partial list of hospitals to which Tesla sent ventilators https://t.co/sfI6yuUbrM
62,Thu Apr 16 07:50:51 +0000 2020,“Dr. Levitan advocates combining breathing support from a CPAP machine or regular oxygen with comfortable positioning”. Yup.
63,Thu Apr 16 07:44:36 +0000 2020,“Don’t jump to intubation.” — Dr Caputo https://t.co/LtpsVqoZVf
64,Wed Apr 15 00:02:29 +0000 2020,"To be clear, Fremont &amp; Shanghai will also be upgraded over time, but it’s hard to retrofit these improvements to an operating paint shop"
65,Tue Apr 14 23:59:35 +0000 2020,Initial production at Giga Berlin is Model Y
66,Tue Apr 14 23:56:31 +0000 2020,"Giga Berlin will have world’s most advanced paint shop, with more layers of stunning colors that subtly change with curvature"
67,Mon Apr 13 01:38:11 +0000 2020,"While others party, he study the blade https://t.co/FBxEdIJ78M"
68,Sun Apr 12 22:47:18 +0000 2020,"Happy Easter!
Follow the 🐇"
69,Sun Apr 12 05:26:40 +0000 2020,Turns out that gun is for the toilet paper https://t.co/C1aAy0YZRi
70,Fri Apr 10 19:40:20 +0000 2020,RT @engineers_feed: Car suspension test https://t.co/p9TKtEpTZy
71,Fri Apr 10 07:39:10 +0000 2020,But actually https://t.co/jlowaHobXO
72,Thu Apr 09 09:19:06 +0000 2020,"RT @Tesla: Tesla wins 5/6 Kelley Blue Book awards

🏆 Best Overall
🏆 Best Value
🏆 Most Refined
🏆 Best Performance
🏆 Best Styling"
73,Wed Apr 08 22:18:50 +0000 2020,What is simple in one arena is often profound in another
74,Wed Apr 08 20:56:19 +0000 2020,Great differences in technology exist in the world about which even hardcore technologists are unaware
75,Wed Apr 08 19:51:08 +0000 2020,"RT @SpaceX: Four years ago today, Falcon 9 landed on the Of Course I Still Love You droneship for the first time. Additional Falcon landing…"
76,Tue Apr 07 20:45:47 +0000 2020,The 20th &amp; final Dragon 1 mission is complete https://t.co/TyLLHA58Bw
77,Tue Apr 07 20:44:23 +0000 2020,"RT @NASA: We’re about to release a #Dragon into space.

Tune in live at 8:45am ET to see a @SpaceX spacecraft packed with cargo and @ISS_Re…"
78,Tue Apr 07 01:21:18 +0000 2020,Here you go https://t.co/hjIs5fbBoy https://t.co/aVnwR0loX9
79,Mon Apr 06 07:00:34 +0000 2020,Starship fuel header tank https://t.co/CVj8057CY6
80,Mon Apr 06 02:58:56 +0000 2020,Music is a limbic resonator
81,Sun Apr 05 23:41:16 +0000 2020,RT @Tesla: Engineering update on the Tesla ventilator
82,Sun Apr 05 07:49:54 +0000 2020,So proud https://t.co/Me5HirnJ6N
83,Sun Apr 05 07:30:58 +0000 2020,Raptors https://t.co/oycjgNI8HE
84,Sun Apr 05 07:02:27 +0000 2020,We’re adding this here catchy tune to the music maker in the Tesla!
85,Sat Apr 04 20:27:23 +0000 2020,RT @Medtronic: #MDTisMobilizing with @elonmusk. Our collaboration with @Tesla / SpaceX is bearing fruit. @SpaceX is now making a vital comp…
86,Sat Apr 04 17:42:13 +0000 2020,"Press any key to continue
https://t.co/gFnlYoUGdy"
87,Sat Apr 04 11:28:36 +0000 2020,u r o k
88,Fri Apr 03 00:15:15 +0000 2020,"RT @JimBridenstine: The worm is back! When the @SpaceX Falcon 9 lifts off carrying @NASA_Astronauts aboard #CrewDragon, it will sport the i…"
89,Tue Mar 31 15:27:02 +0000 2020,We have extra FDA-approved ventilators. Will ship to hospitals worldwide within Tesla delivery regions. Device &amp; sh… https://t.co/34PQmddogo
90,Mon Mar 30 18:31:17 +0000 2020,https://t.co/bvh1TL12l6
91,Mon Mar 30 18:27:28 +0000 2020,Now on launch stand https://t.co/Yb5WIEjAkj
92,Mon Mar 30 18:17:00 +0000 2020,"Hello from the Inside
https://t.co/SV3fWL3bkp"
93,Mon Mar 30 17:53:30 +0000 2020,Logarithm graphs coming soon https://t.co/Fc81TDSQgc
94,Fri Mar 27 22:51:10 +0000 2020,"Would be great to combine blood donations with a C19 antibody test, so you know if you’re immune. Refill blood bank… https://t.co/8P5v4fsxCD"
95,Thu Mar 26 22:04:57 +0000 2020,RT @thirdrowtesla: The next Autopilot update will stop for red lights and stop signs automatically. https://t.co/JddyJ363Ub
96,Thu Mar 26 21:04:47 +0000 2020,"RT @AlexBerenson: 5/ One last point here: Ferguson gives the lockdown credit, which is *interesting* - the UK only began ita lockdown 2 day…"
97,Thu Mar 26 21:04:43 +0000 2020,RT @AlexBerenson: 4/ Ferguson now predicts that the epidemic in the U.K. will peak and subside within “two to three weeks” - last week’s pa…
98,Thu Mar 26 21:04:35 +0000 2020,"RT @AlexBerenson: 3/ Essentially, what has happened is that estimates of the viruses transmissibility have increased - which implies that m…"
99,Thu Mar 26 21:04:22 +0000 2020,"RT @AlexBerenson: 2/ He now says both that the U.K. should have enough ICU beds and that the coronavirus will probably kill under 20,000 pe…"
100,Thu Mar 26 21:02:20 +0000 2020,"RT @AlexBerenson: 1/ This is a remarkable turn from Neil Ferguson, who led the @imperialcollege authors who warned of 500,000 UK deaths - a…"
101,Thu Mar 26 07:56:59 +0000 2020,https://t.co/lzh1uj8QCy
102,Thu Mar 26 07:12:50 +0000 2020,SN3 https://t.co/bM1wzzd4Zg
103,Tue Mar 24 18:42:18 +0000 2020,This meme proves it https://t.co/3CHAzxv6dj
104,Tue Mar 24 18:35:36 +0000 2020,It’s ducked!
105,Tue Mar 24 18:33:41 +0000 2020,.@Apple pls fix awetoekreqt
106,Sat Mar 21 20:26:30 +0000 2020,RT @Medtronic: Addressing #COVID19 is a group effort. We are grateful for the discussion with @ElonMusk and @Tesla as we work across indust…
107,Sat Mar 21 18:22:39 +0000 2020,Just had a long engineering discussion with Medtronic about state-of-the-art ventilators. Very impressive team!
108,Thu Mar 19 21:34:04 +0000 2020,No new domestic corona cases in China https://t.co/lGmxRvMyFy
109,Wed Mar 18 23:13:02 +0000 2020,RT @SpaceX: SpaceX and @NASA are targeting no earlier than mid-to-late May for Crew Dragon’s launch with two @NASA_Astronauts on board http…
110,Wed Mar 18 14:26:11 +0000 2020,"RT @WorldAndScience: Curiosity Mars Rover snaps an absolutely gorgeous 1.8 billion-pixel panorama!

Credit: NASA/JPL-Caltech/MSSS https://t…"
111,Wed Mar 18 14:24:22 +0000 2020,RT @SpaceX: Successful deployment of 60 Starlink satellites confirmed https://t.co/GZq8sUQ2TP
112,Wed Mar 18 12:00:20 +0000 2020,"RT @SpaceX: Falcon 9, Starlink satellites and weather are go for launch. T-30 minutes until liftoff →  https://t.co/gtC39uBC7z"
113,Wed Mar 18 05:07:45 +0000 2020,Because polygon doesn’t rhyme
114,Wed Mar 18 04:52:13 +0000 2020,Abysmal autocorrect might be the #1 reason people don’t fear AI
115,Wed Mar 18 04:27:44 +0000 2020,Fear the memesphere
116,Tue Mar 17 04:50:11 +0000 2020,"Hydroxychloroquine probably better
https://t.co/FWn2kh1LZx https://t.co/wQODHiFeWT"
117,Tue Mar 17 03:34:13 +0000 2020,"That said, danger of panic still far exceeds danger of corona imo. If we over-allocate medical resources to corona,… https://t.co/jFsql5KuPu"
118,Tue Mar 17 03:27:14 +0000 2020,This paper matches what I’m hearing from a lot of smart people https://t.co/vul3xORsgq
119,Mon Mar 16 23:37:18 +0000 2020,"RT @SpaceX: Targeting Wednesday, March 18 at 8:16 a.m. EDT, 12:16 UTC, for Falcon 9's launch of Starlink from LC-39A in Florida"
120,Mon Mar 16 20:31:48 +0000 2020,Maybe worth considering chloroquine for C19 https://t.co/LEYob7Jofr
121,Mon Mar 16 17:53:02 +0000 2020,"RT @Tesla: Model Y deliveries begin!

https://t.co/ZhuiM5MTOf https://t.co/3gX6MBPmhp"
122,Sun Mar 15 03:33:30 +0000 2020,Fear is the mind-killer
123,Sat Mar 14 16:40:43 +0000 2020,RT @SpaceX: Falcon 9’s first stage supporting this mission has flown to orbit four times https://t.co/bICKcH9h7y
124,Sat Mar 14 16:40:39 +0000 2020,"RT @SpaceX: Static fire test of Falcon 9 complete—targeting Sunday, March 15 at 9:22 a.m. EDT, 13:22 UTC, for launch of 60 Starlink satelli…"
125,Wed Mar 11 18:41:24 +0000 2020,We should be excited about the future &amp; striving to go beyond the horizon!
126,Wed Mar 11 18:32:21 +0000 2020,Wacktivism!
127,Wed Mar 11 18:32:00 +0000 2020,And so annoying
128,Wed Mar 11 18:31:05 +0000 2020,"Moral condemnation used not for morality, but as a weapon for manipulation is messed up"
129,Wed Mar 11 16:57:51 +0000 2020,Moon too
130,Wed Mar 11 15:39:53 +0000 2020,The people have spoken!
131,Wed Mar 11 15:32:06 +0000 2020,https://t.co/IXSO7Ko4z7
132,Wed Mar 11 04:26:02 +0000 2020,"To those who quietly help advance the causes we mutually believe in, knowing advancing the cause is the only reward: thank you"
133,Wed Mar 11 00:21:10 +0000 2020,"RT @vincent13031925: Tesla Topped 1st Place 🏆🥇 in Consumer Reports Owner Satisfaction Survey 👏🏻👏🏻👏🏻

$TSLA #Tesla 
@elonmusk @Tesla
https:/…"
134,Wed Mar 11 00:14:21 +0000 2020,Model Y production for east coast too
135,Wed Mar 11 00:12:04 +0000 2020,Scouting locations for Cybertruck Gigafactory. Will be central USA.
136,Tue Mar 10 05:53:48 +0000 2020,With an epic sound system &amp; woofers the size of a car
137,Tue Mar 10 04:49:56 +0000 2020,Tesla should have a mega rave cave under the Berlin Gigafatory
138,Tue Mar 10 04:26:25 +0000 2020,Was good maybe 5 or 6 years ago when you could wonder around &amp; find great unknown bands
139,Tue Mar 10 04:22:13 +0000 2020,Too much corporate sponsorship killed the vibe
140,Tue Mar 10 04:14:13 +0000 2020,Coachella should postpone itself until it stops sucking
141,Tue Mar 10 02:32:21 +0000 2020,"Congratulations Tesla team on making our 1,000,000th car!! https://t.co/5M99a9LLQi"
142,Sat Mar 07 09:01:24 +0000 2020,Accurate https://t.co/IskXipRvdf
143,Sat Mar 07 05:07:47 +0000 2020,Envelope expanded https://t.co/WIuWUTAAnh
144,Sat Mar 07 04:47:05 +0000 2020,RT @SpaceX: Webcast of Falcon 9 launch now live → https://t.co/gtC39uBC7z https://t.co/71JYsrUycu
145,Sat Mar 07 02:28:58 +0000 2020,Rocket will land in highest winds ever at Cape Canaveral tonight. This is intentional envelope expansion.
146,Sat Mar 07 02:25:13 +0000 2020,Final Dragon Version 1 mission tonight https://t.co/usYursGqPk
147,Fri Mar 06 20:42:39 +0000 2020,The coronavirus panic is dumb
148,Thu Mar 05 21:00:57 +0000 2020,RT @Tesla: Art of the Roof
149,Wed Mar 04 20:40:11 +0000 2020,RT @Tesla: Model 3 recently earned the 2020 IIHS Top Safety Pick+ Award. Winning cars are selected on their ability to protect people insid…
150,Wed Mar 04 03:00:39 +0000 2020,"RT @Teslarati: Tesla rolls out ""range update"" for Model S, Model X display to reflect improved efficiency. Model X shows a whopping 354 mil…"
151,Tue Mar 03 11:24:32 +0000 2020,Mad respect for the makers of things
152,Tue Mar 03 10:43:37 +0000 2020,Bernie’s tax rate is 0.2% too high! https://t.co/ESAqAYl9xB
153,Tue Mar 03 08:55:46 +0000 2020,Sleeving SN2 dome in the high bay https://t.co/zdRuOgd8xz
154,Tue Mar 03 08:49:26 +0000 2020,They have the best coin
155,Tue Mar 03 08:46:53 +0000 2020,Dogs rock https://t.co/vLJGyZo5Sx
156,Tue Mar 03 02:45:45 +0000 2020,✌️ bro https://t.co/nJ7CUyhr2j
157,Tue Mar 03 01:21:14 +0000 2020,Just want say that I support @Jack as Twitter CEO. He has a good ❤️.
158,Mon Mar 02 16:49:16 +0000 2020,RT @WIRED: Your Cybertruck is here. It's just ... a toy. The Hot Wheels Tesla Cybertruck goes 25 miles per hour and accelerates like a demo…
159,Mon Mar 02 08:59:46 +0000 2020,https://t.co/Yt0zkj1R5j
160,Mon Mar 02 08:38:59 +0000 2020,Where’s Flextape when you need it!?
161,Mon Mar 02 08:33:45 +0000 2020,"It’s fine, we’ll just buff it out"
162,Mon Mar 02 08:32:15 +0000 2020,So … how was your night? https://t.co/tbJDYIQjXd
163,Sat Feb 29 00:57:17 +0000 2020,"RT @SpaceX: Falcon Heavy will launch @NASAPsyche! The mission, for which @NASA requires the highest level of launch vehicle reliability, wi…"
164,Tue Feb 25 22:49:30 +0000 2020,SN2 tank integration starts this week with much less circumferential pucker. Thanks Fronius!
165,Tue Feb 25 22:47:31 +0000 2020,Starship SN1 tank preparing for Raptor attachment &amp; static fire https://t.co/jx0ijLrxWx
166,Tue Feb 25 20:28:10 +0000 2020,And that’s why cones were invented https://t.co/7YKfEIGvPq
167,Tue Feb 25 20:10:27 +0000 2020,Tinny https://t.co/N1p5qZvx0D
168,Tue Feb 25 09:24:08 +0000 2020,Rococo is alive &amp; living in our hearts
169,Tue Feb 25 09:08:00 +0000 2020,Woody https://t.co/0Di88Eoz2C
170,Tue Feb 25 08:36:14 +0000 2020,Battle Angel Starship https://t.co/CL4rvBB8mb
171,Tue Feb 25 08:02:06 +0000 2020,On a wall in Austin https://t.co/yDBt2tUJij
172,Sat Feb 22 21:39:50 +0000 2020,Getting there was super hard. Very proud of Tesla team!
173,Sat Feb 22 21:30:22 +0000 2020,Model 3 achieves 350 mile actual range vs 310 EPA sticker in Consumer Reports testing https://t.co/5hqRhjP4bV
174,Fri Feb 21 11:16:44 +0000 2020,Science has gone too far https://t.co/Ky65Q3s3JX
175,Fri Feb 21 09:46:49 +0000 2020,🔭 https://t.co/6HHgR0ZVp0
176,Thu Feb 20 20:18:48 +0000 2020,RT @Tesmanian_com: Tesla Model 3 Is Consumer Reports' Top EV Pick for 2020 https://t.co/4ZthC6qt88 https://t.co/AyIfI6CsNb
177,Thu Feb 20 10:29:23 +0000 2020,"High bay for stacking Starship engine bay, propellant tanks &amp; fairing (fka nosecone) sections is almost done! https://t.co/G9h0430ns2"
178,Thu Feb 20 00:51:55 +0000 2020,"Worth reading Asimov’s Foundation
https://t.co/OZfhcNNzyG"
179,Wed Feb 19 23:43:59 +0000 2020,Rocket nosecone production in Texas https://t.co/KLWewja9Gn
180,Mon Feb 17 16:58:11 +0000 2020,RT @SpaceX: Successful deployment of 60 Starlink satellites confirmed! https://t.co/bKBtI5UZEB
181,Mon Feb 17 16:58:05 +0000 2020,RT @SpaceX: Liftoff! https://t.co/vTMGhpgVIQ
182,Mon Feb 17 16:58:02 +0000 2020,RT @SpaceX: Crew Dragon completes acoustic testing in Florida https://t.co/SbvmEvZLeZ
183,Sun Feb 16 01:14:27 +0000 2020,Looking forward to international expansion later this year 😀
184,Sun Feb 16 01:12:59 +0000 2020,"Tesla is ramping up Solar Roof installation across the USA! Training will be provided, so no prior experience neede… https://t.co/MRRXQJYub0"
185,Sun Feb 16 01:12:59 +0000 2020,"Tesla is ramping up Solar Roof installation across the USA! Training will be provided, so no prior experience neede… https://t.co/MRRXQJYub0"
186,Sat Feb 15 04:48:32 +0000 2020,All S/X cars made in recent months have actually been above stated EPA range. Will be unlocked soon for free via software update.
187,Sat Feb 15 04:45:47 +0000 2020,Tesla Model S estimated EPA range is now above 390 miles or ~630 km https://t.co/sNFzIkuJpC
188,Sat Feb 15 04:35:09 +0000 2020,Run a physics sim long enough &amp; you’ll get intelligence
189,Fri Feb 14 17:56:07 +0000 2020,Only the heart senses beauty
190,Thu Feb 13 20:45:40 +0000 2020,💘 be still my beating heart 💘 https://t.co/Fnly6DNLIC
191,Wed Feb 12 23:25:47 +0000 2020,RT @SpaceX: SpaceX employees with Crew Dragon before it departed our Hawthorne factory for the launch site in Florida – one step closer to…
192,Wed Feb 12 07:52:05 +0000 2020,Thanks Mom!!! ❤️ @mayemusk https://t.co/eyMgV45ypT
193,Wed Feb 12 07:45:16 +0000 2020,And some vitamin k too
194,Wed Feb 12 07:02:46 +0000 2020,Ok u can have a little emerald 🤹🏻‍♂️ https://t.co/3LzPe4aG4B
195,Mon Feb 10 17:53:21 +0000 2020,The degree to which SolarGlass will positively effect the esthetics &amp; energy sustainability of neighborhoods throug… https://t.co/4VOlFa64RO
196,Mon Feb 10 17:49:05 +0000 2020,"Tesla April company talk will be from our Giga New York factory, where we make SolarGlass &amp; several other products.… https://t.co/WDlJMJUvih"
197,Mon Feb 10 17:41:25 +0000 2020,Should preface this saying that feedback from early Tesla Solar roof owners has been v positive. It’s stunning vs a… https://t.co/qIgvBtqltN
198,Mon Feb 10 17:25:09 +0000 2020,Please let us know what improvements we can make to any aspect of Tesla SolarGlass roof! Critical feedback is much appreciated.
199,Mon Feb 10 08:17:32 +0000 2020,Midsection of Starship propellant tanks https://t.co/Aa8yKPJEFS
200,Mon Feb 10 02:16:34 +0000 2020,Foundation by Asimov
201,Mon Feb 10 02:12:52 +0000 2020,"Mars is to Earth, as Terminus was to Trantor"
202,Sun Feb 09 22:33:26 +0000 2020,Hard to believe that is high efficiency solar power seamlessly integrated into beautiful roof tiles. Great work by… https://t.co/QNdnAoRqTy
203,Sun Feb 09 22:30:56 +0000 2020,Order at https://t.co/byFVU5nF9W https://t.co/4lD1mVHKy6
204,Sun Feb 09 05:36:01 +0000 2020,Back in Boca https://t.co/RjiWpW28PT
205,Sat Feb 08 08:24:28 +0000 2020,"My Mom wrote a book ♥️
https://t.co/EV0FoGLuzf https://t.co/qQMYSBNxpv"
206,Sat Feb 08 08:00:00 +0000 2020,"feeling cute, might delete later https://t.co/TtDJcr9Qiq"
207,Fri Feb 07 02:34:19 +0000 2020,"SpaceX started with a mariachi band party. Great vibes here in Boca Chica, Texas! https://t.co/LMfaB9kCKh"
208,Thu Feb 06 19:03:25 +0000 2020,Late night tweets … sigh
209,Thu Feb 06 18:36:31 +0000 2020,New emoji! Last one comes with free phone hack. https://t.co/T3jjwZycog
210,Thu Feb 06 10:56:39 +0000 2020,"What if there was an AI programmed to want to pick as many strawberries as possible, and so it cultivated nothing b… https://t.co/ZSxboadHml"
211,Thu Feb 06 09:35:31 +0000 2020,REALiTi made while u wait https://t.co/jWRPAEufs8
212,Thu Feb 06 09:15:22 +0000 2020,"All things in moderation, especially etymology"
213,Thu Feb 06 09:09:06 +0000 2020,Essentially all quotes can be ascribed to Churchill
214,Thu Feb 06 09:05:26 +0000 2020,"No matter how many times u get hangry, you always think ur anger is real — Plato"
215,Thu Feb 06 07:55:15 +0000 2020,Guess he’s not left-handed https://t.co/RLlzOLqh8U
216,Wed Feb 05 22:00:04 +0000 2020,Putting that on my LinkedIn for sure
217,Wed Feb 05 21:59:10 +0000 2020,"8th hottest song on Soundcloud!!
https://t.co/5FJNJYc9kA https://t.co/PmoBYJL4in"
218,Wed Feb 05 20:03:01 +0000 2020,RT @SpaceX: Small satellite operators can now book their ride to orbit online → https://t.co/jqQxEdt4xp
219,Wed Feb 05 17:31:22 +0000 2020,Please send your resume to BuildStarship@spacex.com if you’re coming to the Starship career day in Boca Chica tomorrow
220,Wed Feb 05 06:10:51 +0000 2020,Starship Concerto in Zero G https://t.co/gkn05I1bvZ
221,Wed Feb 05 05:23:16 +0000 2020,Giga Texas?
222,Tue Feb 04 09:28:18 +0000 2020,"This is mainly for staffing up 4 production shifts for 24/7 operations, but engineers, supervisors &amp; support person… https://t.co/33J54FoitV"
223,Tue Feb 04 09:19:05 +0000 2020,"Starship career day at the Stargate building (Boca Chica Blvd, TX) this Thursday from 3pm to 9pm!"
224,Tue Feb 04 00:13:15 +0000 2020,Going max hardcore on design/production Starship here in Boca. It’s awesome! Feels a bit like a Mars simulator.
225,Mon Feb 03 21:50:28 +0000 2020,🔥🔥🔥
226,Mon Feb 03 05:34:13 +0000 2020,"Nothing medically dangerous, but 5g is getting a bit too greedy with their spectrum land grab https://t.co/1NlQCbeyE5"
227,Mon Feb 03 04:07:01 +0000 2020,"Our NN is initially in Python for rapid iteration, then converted to C++/C/raw metal driver code for speed (importa… https://t.co/P1tr3GTozK"
228,Sun Feb 02 21:48:53 +0000 2020,Tesla will hold a super fun AI party/hackathon at my house with the Tesla AI/autopilot team in about four weeks. Invitations going out soon.
229,Sun Feb 02 19:23:27 +0000 2020,"We are (obviously) also looking for world-class chip designers to join our team, based in both Palo Alto &amp; Austin"
230,Sun Feb 02 19:20:42 +0000 2020,"Dojo, our training supercomputer, will be able to process vast amounts of video training data &amp; efficiently run hyp… https://t.co/fT5RaEoRTN"
231,Sun Feb 02 19:14:33 +0000 2020,"Our custom 144 TOPS in-vehicle inference computer, where almost every TOP is useable &amp; optimized for NN, far exceed… https://t.co/yz0MJORXPV"
232,Sun Feb 02 19:01:13 +0000 2020,Tesla will soon have over a million connected vehicles worldwide with sensors &amp; compute needed for full self-drivin… https://t.co/D3Jt9pAx9S
